time,"Inductor V min","Inductor V max","Inductor A min","Inductor A max"
0.061270000000115704,0,0,0,0
0.061590000000115705,0,0,0,0
0.061910000000115706,0,0,0,0
0.06223000000011571,0,0,0,0
0.06255000000011571,0,0,0,0
0.06287000000011571,0,0,0,0
0.06319000000011571,0,0,0,0
0.06351000000011571,0,0,0,0
0.06383000000011571,0,0,0,0
0.0641500000001157,0,0,0,0
0.0644700000001157,0,0,0,0
0.0647900000001157,0,0,0,0
0.0651100000001157,0,0,0,0
0.0654300000001157,0,0,0,0
0.0657500000001157,0,0,0,0
0.0660700000001157,0,0,0,0
0.0663900000001157,0,0,0,0
0.0667100000001157,0,0,0,0
0.0670300000001157,0,0,0,0
0.0673500000001157,0,0,0,0
0.06767000000011571,0,0,0,0
0.06799000000011571,0,0,0,0
0.06831000000011571,0,0,0,0
0.06863000000011571,0,0,0,0
0.0689500000001157,0,0,0,0
0.06927000000011571,0,0,0,0
0.0695900000001157,0,0,0,0
0.0699100000001157,0,0,0,0
0.0702300000001157,0,0,0,0
0.0705500000001157,0,0,0,0
0.0708700000001157,0,0,0,0
0.0711900000001157,0,0,0,0
0.0715100000001157,0,0,0,0
0.0718300000001157,0,0,0,0
0.0721500000001157,0,0,0,0
0.0724700000001157,0,0,0,0
0.0727900000001157,0,0,0,0
0.07311000000011571,0,0,0,0
0.07343000000011571,0,0,0,0
0.0737500000001157,0,0,0,0
0.07407000000011571,0,0,0,0
0.0743900000001157,0,0,0,0
0.0747100000001157,0,0,0,0
0.0750300000001157,0,0,0,0
0.0753500000001157,0,0,0,0
0.0756700000001157,0,0,0,0
0.0759900000001157,0,0,0,0
0.0763100000001157,0,0,0,0
0.0766300000001157,0,0,0,0
0.0769500000001157,0,0,0,0
0.0772700000001157,0,0,0,0
0.0775900000001157,0,0,0,0
0.0779100000001157,0,0,0,0
0.07823000000011571,0,0,0,0
0.0785500000001157,0,0,0,0
0.07887000000011571,0,0,0,0
0.0791900000001157,0,0,0,0
0.07951000000011571,0,0,0,0
0.0798300000001157,0,0,0,0
0.0801500000001157,0,0,0,0
0.0804700000001157,0,0,0,0
0.0807900000001157,0,0,0,0
0.0811100000001157,0,0,0,0
0.0814300000001157,0,0,0,0
0.0817500000001157,0,0,0,0
0.0820700000001157,0,0,0,0
0.0823900000001157,0,0,0,0
0.0827100000001157,0,0,0,0
0.0830300000001157,0,0,0,0
0.0833500000001157,0,0,0,0
0.08367000000011571,0,0,0,0
0.0839900000001157,0,0,0,0
0.08431000000011571,0,0,0,0
0.0846300000001157,0,0,0,0
0.08495000000011571,0,0,0,0
0.0852700000001157,0,0,0,0
0.0855900000001157,0,0,0,0
0.0859100000001157,0,0,0,0
0.0862300000001157,0,0,0,0
0.0865500000001157,0,0,0,0
0.0868700000001157,0,0,0,0
0.0871900000001157,0,0,0,0
0.0875100000001157,0,0,0,0
0.0878300000001157,0,0,0,0
0.0881500000001157,0,0,0,0
0.0884700000001157,0,0,0,0
0.08879000000011569,0,0,0,0
0.08911000000011571,0,0,0,0
0.0894300000001157,0,0,0,0
0.08975000000011571,0,0,0,0
0.0900700000001157,0,0,0,0
0.0903900000001157,0,0,0,0
0.0907100000001157,0,0,0,0
0.0910300000001157,0,0,0,0
0.0913500000001157,0,0,0,0
0.0916700000001157,0,0,0,0
0.0919900000001157,0,0,0,0
0.0923100000001157,0,0,0,0
0.0926300000001157,0,0,0,0
0.0929500000001157,0,0,0,0
0.0932700000001157,0,0,0,0
0.09359000000011569,0,0,0,0
0.0939100000001157,0,0,0,0
0.0942300000001157,0,0,0,0
0.09455000000011571,0,0,0,0
0.0948700000001157,0,0,0,0
0.09519000000011571,0,0,0,0
